date,aircraft,notablePeople,totalMissing,aircrafttype,incidentType,location,coordinates,memorial,remarks,dateClean,context
1959-10-28 !28 Oct 1959,*FAR-53*,"Cienfuegos, Camilo ! 
Camilo Cienfuegos",1,Cessna 310,Unknown,Cuba !Gulf of Mexico *en route* from Camagüey to Havana,Unknown,x !,,1959-10-28,Private flight
1960-07-10 !10 Jul 1960,VT-DGS,x !,16,"Douglas C-47 Skytrain ! 
Douglas C-47-DL",Unknown,"Arabian peninsula !Vicinity of Sharjah, UAE *en route* from Doha Airport, 
Qatar to Sharjah Airport",Unknown,x !,"Missing:
3 crew; 13 passengers. Crashed at sea or overflew destination causing CFIT.[
80]",1960-07-10,Passenger flight
1961-02-03 !3 Feb 1961,PK-GDY,x !,26,"Douglas C-47A ! 
Douglas C-47A-20-DK",Unknown,"Indonesia !Off Madura Island, Indonesia *en route* from Surabaya-Juanda 
Airport to Balikpapan-SAMS Airport",Unknown,x !,"Missing:
5 crew; 21 passengers.[82]",1961-02-03,Passenger flight
1961-11-11 !11 Nov 1961,HH-ABA,x !,3,"Lockheed L-749A Constellation ! 
Lockheed L-749A Constellation",Unknown,"Caribbean Sea !Over the Caribbean Sea E of Puerto Rico *en route* from San 
Juan to Managua, Nicaragua",Unknown,x !,,1961-11-11,Cargo flight
1962-03-15 !15 Mar 1962,N6921C,x !,107,"Lockheed Constellation L-1049H ! 
Lockheed Constellation L-1049H",Mid-air explosion (presumed),"Pacific Ocean, Western !Western Pacific Ocean",13°40′N 140°00′E﻿ / ﻿13.67°N 140.00°E﻿ / 13.67; 140.00,x !,Flying Tiger Line Flight 739,1962-03-15,Military transport
1964-01-02 !2 Jan 1964,52-0968,x !,9,"Douglas C-124C Globemaster II ! 
Douglas C-124C Globemaster II",Unknown,"Pacific Ocean 1200 km W of Hawaii *en route* from Wake Island Airfield to Hickam 
Air Force Base, Honolulu",Unknown,x !,One passenger was lost in the accident.,1964-01-02,Military transport
1964-03-28 !28 Mar 1964,N4726V !N4726V,x !,9,"Douglas C-54A ! 
Douglas C-54A-10-DC",Unknown,"Pacific Ocean, 1120 km W of San Francisco CA *en route* from Honolulu Int'l 
Airport to Los Angeles Int'l Airport","29°20′N 135°00′W﻿ / ﻿29.33°N 135.00°W﻿ / 29.33; -135.00 (last reported 
position)",x !,Aircraft used in film *The High and the Mighty* (1954).[83] Source.[84],1964-03-28,Passenger flight
1964-08-12 !12 Aug 1964,N9492X,"Ogle, Charles Clifford ! 
Charles Clifford Ogle",1,Cessna 210A,Unknown,"California !Sierra Nevada Mountains, USA",Unknown,x !,,1964-08-12,Private flight
1965-06-09 !9 Jun 1965,51-2680,x !,9,"Fairchild C-119F-FA ! 
Fairchild C-119F-FA Flying Boxcar",Unknown,"Atlantic, Bahamas !N Atlantic off the Bahamas *en route* from Homestead Air 
Force Base, FL to Grand Turk Island Airport",Unknown,x !,"Four of those lost were mechanics being transported to Grand Turk Island to 
repair a C-119.[85]",1965-06-09,Military transport
1966-07-11 !11 Jul 1966,HK-527,x !,8,Curtiss C-46D-10-CU Commando,Unknown,"Chile !Near Cerro el Planchon, Chile *en route* from Bogota, Colombia to Buenos 
Aires, Argentina",Unknown,x !,,1966-07-11,Cargo flight
1966-07-25 !25 Jul 1966,HS-OOO !HS-OOO,x !,3,"Douglas DC-3 ! 
Douglas DC-3-362",Unknown,Pacific Ocean 840 km off the US coast,Unknown,x !,,1966-07-25,Delivery flight
1968-06-05 !5 Jun 1968,"60–6932 ! 
Aircraft No. 129 (#60–6932)[86][87][88]",x !,1,Lockheed A-12 !Lockheed A-12,Unknown,"Philippine Sea !Philippine Sea, on a flight from Kadena Air Base, Okinawa","Approx. 920 km (500nmi) E of Philippines & 1111 km (600nmi) S of Okinawa - 
16°21′N 130°09′E﻿ / ﻿16.35°N 130.15°E﻿ / 16.35; 130.15",,"Lost: CIA pilot Jack W. Weeks. Scheduled as last operational A-12 flight 
from Kadena.[88]",1968-06-05,Check flight (engine replacement)
1969-03-09 !9 Mar 1969,N3821,x !,3,"Douglas DC-4 ! 
Douglas DC-4",Unknown,"Atlantic, North !N Atlantic *en route* from Halifax International Airportto Santa 
Maria Airport (Azores)",Unknown,x !,,1969-03-09,Cargo flight
1969-06-05 !5 Jun 1969,62-4137,x !,19,Boeing RC-135 !Boeing RC-135,Unknown,"Alaska !Bering Sea *en route* from Shemya AFB, AK to Eielson AFB, AK, ca 
400km E of Shemya",Unknown,x !,,1969-06-05,Flight to maintenance facility
1970-09-21 !21 Sep 1970,"Free Life, The !*The Free Life* (N2079)","Brighton, Malcolm !Macolm Brighton (pilot)",3,"balloon, Roziere !Roziere balloon",Ditching (sea) due to equipment failure and weather,Newfoundland !N Atlantic approx 1000km SE of Newfoundland,Unknown,x !,"First transatlantic balloon crossing, 11–16 August 1978 by Double Eagle II, Presque 
Isle, Maine to Miserey, France",1970-09-21,Attempted transatlantic flight (1st by balloon)
1971-01-25 !25 Jan 1971,N400CP,x !,5,Rockwell 1121 Jet Commander,Unknown,"Vermont !Over from Lake Champlain, NY (presumed) *en route* from Burlington 
International Airport, VT to T. F. Green Airport, Providence, RI",Unknown,x !,Plane operated by Cousins Properties.[89],1971-01-25,Passenger flight (executive jet)
1971-06-13 !13 Jun 1971,61-0331,x !,24,"Boeing EC-135N ! 
Boeing EC-135N",Unknown,"Hawaii !Pacific Ocean, 113km S of Hawaii, near Palmyra Atoll *en route*from Pago 
Pago to Hickam Air Force Base","10°31′N 161°59′W﻿ / ﻿10.51°N 161.98°W﻿ / 10.51; -161.98 (crash position 
indicator)",x !,Returning from observing French nuclear test *Encelade*.,1971-06-13,Military observation flight
1972-05-26 !26 May 1972,152155,x !,8,"Lockheed P-3A-50-LO Orion ! 
Lockheed P-3A-50-LO Orion",Unknown,"California !Pacific Ocean off California, on a routine training mission 
based at Moffett Federal Airfield",Unknown,x !,Source.[90],1972-05-26,Military training flight
1972-07-20 !20 Jul 1972,LV-JYR !LV-JYR,x !,5,"Canadair CC-106 Yukon ! 
Canadair CC-106 Yukon",Unknown,"Uruguay !*En route* from Carrasco International Airport, Montevideo, Uruguayto 
Santiago, Chile",Unknown,x !,,1972-07-20,Cargo flight
1972-10-16 !16 Oct 1972,N1812H,"Begich, Nick ! 
Nick Begich and Boggs, Hale ! 
Hale Boggs",4,Cessna 310C !Cessna 310C,Unknown,Alaska *en route* from Anchorage to Juneau,Unknown,x !,Members of US House of Representatives,1972-10-16,Passenger flight (private)
1974-01-10 !10 Jan 1974,TAM-52,x !,24,"Douglas DC-4 ! 
Douglas DC-4",Unknown,"Bolivia !Central Bolivia *en route* from Santa Rosa de Yacuma Airport 
(SRB/SLSR) (14°3′58″S 66°47′12″W﻿ / ﻿14.06611°S 66.78667°W﻿ / -14.06611; 
-66.78667) to El Alto International Airport, La Paz",Unknown,x !,Operated by Transporte Aéreo Militar.,1974-01-10,Passenger flight (non-scheduled)
1974-02-21 !21 Feb 1974,*Light Heart*,"Gatch Jr., Thomas Leigh !Thomas Leigh Gatch, Jr.",1,"balloon, superpressure !Superpressure balloon",Unknown,"Canary Islands !1610km W of the Canaries *en route* from Harrisburg Airport, 
PA to W Europe",Unknown,x !,"Some doubt about last reported sighting; last radio contact, 12.50, 19 Feb 
1974, 1,490 km NE of San Juan, PR.",1974-02-21,Attempted transatlantic flight (1st by balloon)
1974-10-12 !12 Oct 1974,Swan 38,x !,6,"Lockheed WC-130 Weatherbird ! 
Lockheed WC-130 Weatherbird",Unknown,"China Sea, South !South China Sea",Unknown,x !,Aircraft lost during Typhoon Bess (1974).,1974-10-12,Weather reconnaissance
1976-09-24 !24 Sep 1976*,HK-1282,x !,2,Curtiss C-46D-15-CU Commando,Unknown,"Caribbean !Caribbean Sea off Aruba *en route* to Queen Beatrix 
International Airport",Unknown,x !,Date possibly 16 Sep 1976.,1976-09-24,Cargo flight
1976-11-05 !5 Nov 1976,HP-671 !HP-671,x !,2,"Douglas DC-3 ! 
Douglas DC-3",Unknown,"Caribbean !Caribbean Sea *en route* from Willemstad, Curaçao to 
Port-au-Prince, Haiti",Unknown,x !,,1976-11-05,Cargo flight
1977-06-30 !30 Jun 1977,N126US,x !,4,"Lockheed L-188CF Electra ! 
Lockheed L-188CF Electra",Unknown,"Caribbean !Caribbean Sea 65 km off Bocas del Toro, Panama *en route* from San 
José, Costa Rica to Caracas, Venezuela",Unknown,x !,"One passenger was lost, along with the crew of three.",1977-06-30,Cargo flight
1978-09-21 !21 Sep 1978,N407D !N407D,x !,4,"Douglas DC-3-277C ! 
Douglas DC-3-277C",Unknown,"Florida !N Atlantic off Ft Lauderdale, FL *en route* from Ft Lauderdale to 
Havana, Cuba",Unknown,x !,Aircraft flying to pick up passengers in Havana. Source.[91],1978-09-21,Ferry/positioning (for passenger flight)
1978-10-21 !21 Oct 1978,VH-DSJ,"Valentich, Frederick !Frederick Valentich",1,Cessna 182L,Unknown,"Victoria !Bass Strait, vicinity of Cape Otway, Victoria, Australia (as 
reported by pilot)",38°52′S 143°31′E﻿ / ﻿38.87°S 143.52°E﻿ / -38.87; 143.52,x !,No radar confirmation of the pilot-reported position.,1978-10-21,Private flight
1978-12-08 !8 Dec 1978,HK-1707X,x !,3,"Douglas DC-6A/B ! 
Douglas DC-6A/B",Unknown,"Colombia !Over the Sierra Nevada del Cocuy, Colombia on a cargo flight from 
Bogota to Trinidad, Casanare",Unknown,x !,Source.[92],1978-12-08,Cargo flight
1979-01-30 !30 Jan 1979,PP-VLU,x !,6,Boeing 707-323C,Unknown,Tokyo !Pacific Ocean 200 km ENE of Tokyo,Unknown,x !,153 of Manabu Mabe's paintings lost.,1979-01-30,Cargo flight
1979-07-07 !7 Jul 1979,N302RA,"Mackintosh, Ian !Ian Mackintosh",3,Socata Rallye 235GT,Unknown,"Alaska !Vicinity of Woody Island (Alaska) *en route* from Anchorage to 
Kodiak",Unknown,x !,Additional information.[93],1979-07-07,Passenger flight (private)
1980-10-30 !30 Oct 1980,ECT-025,x !,2,"Douglas C-47A ! 
Douglas DC-3 (C-47A-35-DK)",Unknown,"Mediterranean Sea, Spain !Mediterranean Sea (presumed) *en route* from 
Madrid to Perpignan, France (intended onward flight to Frankfurt",Unknown,x !,"Previously decommissioned aircraft; provisional, limited, Certificate of 
Airworthiness. Unauthorised take off, on unrated runway, no working radio 
equipment. Source.[94]",1980-10-30,Ferry/positioning (transfer to aviation museum)
1981-04-21 !21 Apr 1981,F-BJBY,x !,4,Douglas C-53-DO !Douglas C-53-DO (DC-3),Unknown,"Mediterranean Sea, Spain ! Mediterranean Sea, 24 km off Port d'Andratx, 
Mallorca *en route* from Oran, Algeria to Toulouse, France",Unknown,x !,,1981-04-21,Passenger flight (non-scheduled)
1983-02-13 !13 Feb 1983,N482U,"Wijewardene, Upali !Upali Wijewardene",6,"Learjet 35A ! 
Learjet 35A",Unknown,"Malayasia ! Straits of Malacca c. 20 km off Kuala Selangor, Malayasia *en 
route* from Kuala Lumpur to Colombo-Katunayake, Sri Lanka",Unknown,x !,"Operated by Upali Air. Survival pack, apparently from aircraft, found (Feb 
19).",1983-02-13,Passenger flight (executive jet)
1983-09-2 !2 Sep 1983,C-GIPF,"Cogar, George !George Cogar",7,Britten-Norman BN-2A-21 Islander,Unknown,"British Columbia !Near Smithers, BC, Canada",Unknown,x !,,1983-09-2 ,Private flight (hunting trip)
1984-10-31 !31 Oct 1984,RP-C138,x !,4,"Douglas C-47B-1-DL ! 
Douglas C-47B-1-DL",Unknown,"Philipppines !Off Davao, Philippines *en route* from Davao to Manila",Unknown,x !,,1984-10-31,Cargo flight
1985-09-16 !16 Sep 1985,N13AS,"Scholl, Art !Art Scholl",1,Pitts S-2,Fatal spin,"California !Pacific Ocean, off Carlsbad, California",Unknown,x !,Accident occurred during filming for *Top Gun* (1986).,1985-09-16,Aerial cinematography
1986-03-25 !25 Mar 1986,K2729,x !,7,"Antonov An-32 ! 
Antonov An-32",Unknown,"India !Indian Ocean, 450km off Jamnagar. India",Unknown,x !,Operated by Indian Air Force. Source.[94],1986-03-25,Delivery flight
1987-12-4 !4 Dec 1987,C-GOMC,,4,Britten-Norman BN-2A-6 Islander,Unknown,"British Columbia !Near Mount Waddington, BC, Canada",Unknown,x !,[95],1987-12-4 ,Passenger flight
1989-01-17 !17 Jan 1989,CP-1418,x !,5,"Douglas C-47 Skytrain ! 
Douglas C-47A-75-DL",Unknown,"Bolivia !Near La Paz, Bolivia *en route* to Apolo, La Paz",Unknown,x !,Source.[96],1989-01-17,Passenger flight (non-scheduled)
1995-01-10 !10 Jan 1995,PK-NUK,x !,14,"de Havilland Canada DHC-6 Twin Otter ! 
de Havilland Canada DHC-6 Twin Otter",Weather (probable),"Indonesia !Molo Strait, Indonesia *en route* from Bima Airport to Satartacik 
Airport, Ruteng",Unknown,x !,Source[97],1995-01-10,Passenger flight
1997-12-22 !22 Dec 1997,ER-ACF,x !,5,"Antonov An-72 ! 
Antonov An-72",Unknown,"Atlantic, South !S Atlantic *en route* from Port Bouet Airport, Côte 
d'Ivoire to Rundu Airport, Namibia",Unknown,x !,Source.[98],1997-12-22,Cargo flight
2003-05-25 !25 May 2003,N844AA,"Padilla, Ben Charles ! Ben Charles Padilla",1,"Boeing 727-223 ! 
Boeing 727-223",Unknown,"Luanda, Angola",8°51′30″S 13°13′52″E﻿ / ﻿8.858333°S 13.231111°E﻿ / -8.858333; 13.231111,x !,Stolen at Quatro de Fevereiro Airport; unclear how many aboard.[99],2003-05-25,Theft
2008-11-01 !1 Nov 2008,N87V,x !,3,Beechcraft King Air 65-A90,Unknown,"Georgetown, Guyana",Unknown,x !,Lost: 3 crew. Aircraft vanished over a remote part of the Guyana jungle.,2008-11-01,Aerial Survey
2014-03-08 !08 Mar 2014,9M-MRO,Gulf of Thailand !,239,Boeing 777-200ER !Boeing 777-200ER,Unknown,Indian Ocean,6°55′15″N 103°34′43″E﻿ / ﻿6.92083°N 103.57861°E﻿ / 6.92083; 103.57861,x !,239 people missing.,2014-03-08,Passenger Flight
